URN,Income,Expenditure,Balance,Academic Year
100000,2145540.94,2156764.59,-11223.65,2014
100005,1315852.7,1324559.68,-8706.98,2014
100006,1093209,1093209,0,2014
100007,1406660,1192325.54,214334.46,2014
134643,1044836,1044836,0,2014
100008,2661997.64,2676029.47,-14031.83,2014
100009,2875434.83,2635178.85,240255.98,2014
100010,2520962.11,2550143.09,-29180.98,2014
100011,2309546.98,2329665.34,-20118.36,2014
100012,2896090.89,2728414.99,167675.9,2014
100013,1633695.96,1516771.37,116924.59,2014
100014,1403188.74,1410418.06,-7229.32,2014
100015,835944.57,793476.12,42468.45,2014
100018,3351487.56,3306297.84,45189.72,2014
100019,2414730.15,2456833.54,-42103.39,2014
100020,3057491.53,3010827.77,46663.76,2014
100021,3016581.97,3010496.21,6085.76,2014
100022,3033316.22,2818659.31,214656.91,2014
100023,1638578.77,1587821.35,50757.42,2014
100024,1561366.35,1493082.74,68283.61,2014
100025,2893491.72,2855592.33,37899.39,2014
100026,1375647.68,1369718.43,5929.25,2014
100027,1351130.12,1339347.71,11782.41,2014
130342,1637734.6,1556008.33,81726.27,2014
132245,3250270.61,3164222.84,86047.77,2014
100028,1017446.46,1017727.28,-280.82,2014
100029,1463866.65,1465099.35,-1232.7,2014
100030,1196689.16,1220075.53,-23386.37,2014
100031,1118816.79,1118759.59,57.2,2014
100032,1346306.83,1357225,-10918.17,2014
100033,1230127.45,1174774.25,55353.2,2014
100034,2096162.82,2151178.51,-55015.69,2014
100035,1908379.04,1914408.94,-6029.9,2014
100036,1398229.87,1434373.54,-36143.67,2014
100037,1445667.39,1392837.49,52829.9,2014
100038,1308528.14,1362459.68,-53931.54,2014
100039,1954590.33,1801888.69,152701.64,2014
100040,1390384.48,1460734.48,-70350,2014
100041,1333492.24,1313937.7,19554.54,2014
100042,1503974.99,1583502.74,-79527.75,2014
100043,1591566.37,1517585.92,73980.45,2014
100044,1611515.09,1548519.6,62995.49,2014
100045,1562726.12,1573162.38,-10436.26,2014
100046,1249640.92,1209800.79,39840.13,2014
100047,1388564.07,1349749.92,38814.15,2014
100048,1303598.43,1319730.38,-16131.95,2014
100049,10902674.76,11123338,-220663.24,2014
100050,9561917.74,9522866.44,39051.3,2014
100051,7697439.11,7719047.81,-21608.7,2014
100052,10071301.25,9540449.4,530851.85,2014
100053,9619412.72,9327570.81,291841.91,2014
100054,7291213.69,7147168.77,144044.92,2014
100055,5591789.77,5485431.62,106358.15,2014
100056,6951793.67,6972191.83,-20398.16,2014
