URN,Rating,Inspection Date
100000,Outstanding,20130418
100000,Outstanding,20080926
100000,Good,20050921
100008,Good,20150128
100008,Good,20091007
100008,Good,20070109
100009,Good,20120710
100009,Good,20071031
100010,Good,20131119
100010,Good,20081118
100011,Good,20140605
100011,Good,20090617
100011,Satisfactory,20060710
100012,Good,20150115
100012,Good,20100111
100012,Satisfactory,20070115
100013,Good,20140123
100013,Good,20120621
100013,Outstanding,20081013
100014,Good,20120202
100014,Good,20070129
100015,Good,20190227
100015,Good,20140514
100015,Good,20090706
100015,Good,20060620
100018,Good,20140708
100018,Requires Improvement,20130502
100018,Good,20100629
100018,Good,20061122
100018,Inadequate,20051013
100019,Good,20120920
100019,Good,20071121
100020,Outstanding,20090604
100020,Satisfactory,20060516
100021,Good,20130306
100021,Satisfactory,20110713
100021,Satisfactory,20080703
100022,Outstanding,20191016
100022,Outstanding,20081205
100022,Good,20051011
100023,Outstanding,20180918
100023,Outstanding,20090330
100023,Outstanding,20051212
100025,Outstanding,20160127
100025,Good,20110615
100025,Good,20080714
100026,Good,20141118
100026,Good,20091210
100026,Good,20070702
100027,Outstanding,20111018
100027,Good,20070308
100028,Outstanding,20090430
100028,Outstanding,20060427
100029,Good,20120119
100029,Good,20090519
100029,Good,20060706
100030,Good,20190115
100030,Outstanding,20070614
100031,Good,20120618
100031,Good,20080922
100032,Good,20131121
100032,Good,20080918
100033,Outstanding,20070314
100034,Outstanding,20171205
100034,Good,20130605
100034,Outstanding,20100126
100034,Outstanding,20070213
100035,Good,20120514
100035,Outstanding,20080507
100036,Good,20190402
100036,Outstanding,20140109
100036,Good,20090114
100036,Satisfactory,20060629
100037,Requires Improvement,20180320
100037,Good,20130110
100037,Good,20080609
100039,Good,20140515
100039,Requires Improvement,20121107
100039,Satisfactory,20100615
100039,Satisfactory,20070312
100040,Outstanding,20131114
100040,Good,20081119
100041,Good,20181010
100041,Outstanding,20140226
100041,Good,20090121
100041,Satisfactory,20060619
100042,Good,20141105
100042,Good,20110505
100042,Satisfactory,20071113
100043,Good,20190327
100043,Outstanding,20111116
100043,Good,20070618
100044,Good,20161206
100044,Requires Improvement,20141105
100044,Good,20091201
100044,Satisfactory,20060919
100045,Good,20110517
100045,Good,20080204
100046,Good,20111201
100046,Good,20090122
100046,Good,20051213
100047,Outstanding,20101207
100047,Satisfactory,20080117
100048,Good,20130212
100048,Satisfactory,20101207
100048,Inadequate,20091125
100048,Good,20060921
100049,Good,20190702
100049,Requires Improvement,20170124
100049,Good,20111201
100049,Good,20081001
100050,Good,20131119
100050,Outstanding,20101104
100050,Good,20080326
100051,Good,20121129
100051,Satisfactory,20110621
100051,Satisfactory,20071010
100052,Good,20120201
100052,Satisfactory,20081015
100052,Satisfactory,20051207
100053,Good,20180306
100053,Requires Improvement,20160209
100053,Requires Improvement,20130911
100053,Good,20101104
100053,Satisfactory,20080326
100054,Outstanding,20071206
100055,Good,20130307
100055,Satisfactory,20091111
100055,Satisfactory,20070516
100056,Good,20170228
100056,Good,20121024
100056,Satisfactory,20101104
100056,Satisfactory,20080326
100059,Good,20101104
100059,Good,20071018
100068,Good,20100323
100068,Good,20070321
100071,Good,20070612
100073,Outstanding,20180220
100073,Good,20141202
100074,Good,20071206
100077,Outstanding,20200211
100077,Outstanding,20170207
100077,Outstanding,20121003
100077,Good,20070227
100078,Requires Improvement,20190319
100078,Outstanding,20170919
100078,Outstanding,20130522
100078,Good,20070322
100081,Good,20140520
100082,Outstanding,20180626
100082,Good,20150310
100082,Satisfactory,20111207
100082,Good,20080604
100084,Outstanding,20120320
100086,Good,20180123
100086,Good,20110921
100086,Good,20080514
100091,Outstanding,20120625
100091,Outstanding,20090211
100091,Good,20060201
100092,Good,20130117
100092,Satisfactory,20110511
100092,Good,20080704
100096,Outstanding,20140129
100096,Outstanding,20100311
100096,Outstanding,20070207
100113,Outstanding,20140109
100113,Good,20090225
100113,Satisfactory,20051109
100114,Good,20140625
100114,Inadequate,20121127
100114,Satisfactory,20091111
100114,Inadequate,20080626
100115,Good,20190327
100115,Outstanding,20150120
100115,Good,20091005
100115,Satisfactory,20060927
100120,Good,20111011
100120,Satisfactory,20090305
100120,Inadequate,20071127
100125,Good,20111005
100125,Good,20070221
100126,Good,20131119
100126,Good,20081015
100127,Good,20140911
100127,Good,20100304
100127,Satisfactory,20070306
100128,Good,20140515
100128,Good,20091021
100128,Satisfactory,20061012
100129,Good,20130917
100129,Satisfactory,20111005
100129,Good,20090331
100129,Good,20060424
100131,Good,20141112
100131,Good,20091209
100131,Good,20060927
100134,Good,20190116
100134,Outstanding,20130124
100134,Satisfactory,20091123
100134,Satisfactory,20061102
100136,Good,20121211
100136,Satisfactory,20101006
100136,Satisfactory,20071128
100136,Inadequate,20061107
100137,Good,20110524
100137,Good,20080709
100140,Good,20130314
100140,Satisfactory,20091021
100140,Satisfactory,20061113
100141,Outstanding,20111012
100141,Good,20070703
100142,Good,20111201
100142,Satisfactory,20080923
100142,Good,20051205
100146,Good,20130321
100146,Good,20080310
100149,Good,20130604
100149,Good,20100629
100149,Good,20070503
100150,Good,20120321
100150,Satisfactory,20080918
100152,Requires Improvement,20191119
100152,Good,20110712
100152,Satisfactory,20080318
100154,Good,20160621
100154,Requires Improvement,20140625
100154,Requires Improvement,20121204
100154,Good,20071204
100155,Outstanding,20140619
100155,Outstanding,20110613
100155,Good,20071107
100158,Outstanding,20081204
100159,Good,20120123
100159,Good,20090604
100159,Satisfactory,20060704
100160,Good,20111117
100160,Satisfactory,20090319
100160,Good,20060607
100162,Good,20150225
100162,Requires Improvement,20130228
100162,Satisfactory,20100504
100162,Good,20070628
100163,Good,20130124
100163,Satisfactory,20100323
100163,Satisfactory,20070423
100163,Inadequate,20060228
100164,Good,20121024
100164,Satisfactory,20100929
100164,Good,20080610
100165,Good,20130313
100165,Satisfactory,20091014
100165,Inadequate,20080709
100166,Outstanding,20090519
100166,Outstanding,20060619
100167,Outstanding,20080610
100168,Outstanding,20170316
100168,Good,20120222
100168,Good,20070206
100169,Good,20121115
100169,Satisfactory,20110512
100169,Satisfactory,20071101
100170,Good,20131210
100170,Satisfactory,20111102
100170,Satisfactory,20090323
100170,Good,20051121
100171,Good,20180522
100171,Outstanding,20121023
100171,Good,20071205
100173,Good,20121108
100173,Satisfactory,20100127
100173,Inadequate,20081126
100173,Good,20051123
100174,Good,20120312
100174,Good,20090616
100174,Good,20060626
100175,Outstanding,20170221
100175,Good,20110929
100175,Satisfactory,20090428
100175,Inadequate,20080326
100176,Good,20140327
100176,Satisfactory,20120522
100176,Good,20080123
100177,Good,20120515
100177,Outstanding,20070718
100178,Good,20111117
100178,Satisfactory,20090625
100178,Good,20060712
100179,Good,20170516
100179,Requires Improvement,20150423
100179,Requires Improvement,20130514
100179,Good,20100609
100179,Good,20070711
100179,Inadequate,20060502
100180,Good,20101006
100180,Good,20080520
100181,Good,20141015
100181,Good,20101110
100181,Good,20080428
100181,Satisfactory,20060227
100182,Good,20190115
100182,Outstanding,20140319
100182,Satisfactory,20120111
