Name,URN,Website
3 Dimensions,134909,http://www.3dimensions.org.uk
Ab Kettleby School,140696,http://www.abkettleby.org
Abacus Belsize Primary School,139837,http://www.abacus-cfbt.org
Abacus Primary School,133312,http://www.abacusprimaryschool.co.uk
Abbas and Templecombe Church of England Primary School,123775,http://www.abbastemplecombe.weebly.com/
Abberley Parochial VC Primary School,116780,http://www.abberley.worcs.sch.uk/
Abbey Catholic Primary School,103422,http://www.abbeyrc.bham.sch.uk
Abbey CofE Academy,140190,http://www.abbeyceacademy.co.uk/
Abbey CofE Infant School,125654,http://www.abbeyinfants.co.uk
Abbey Court Foundation Special School,119052,http://www.abbeycourt.medway.sch.uk
Abbey Gates Primary School,122659,http://www.abbeygatesprimaryschool.co.uk/
Abbey Hey Primary Academy,139404,http://www.abbeyheyprimary.org.uk/
Abbey Hill Academy,139974,http://www.horizonstrust.org.uk
Abbey Hill Primary & Nursery,136006,http://www.abbeyhillprimaryandnurseryschool.co.uk
Abbey Hill School and College,124500,http://www.abbeyhillschool.co.uk
Abbey Hulton Primary School,146487,http://www.abbeyhultonprimary.org.uk/
Abbey Infant School,103930,http://www.abbeyfederation.co.uk
Abbey Infants' School,136988,http://www.abbeyfed.darlington.sch.uk/
Abbey Junior School,136989,http://www.abbeyfed.darlington.sch.uk/
Abbey Junior School,103929,http://www.abbeyfederation.co.uk
Abbey Lane Primary School,106982,http://www.abbeylaneprimaryschool.com
Abbey Manor College,130856,http://www.abbeymanorcollege.com
Abbey Mead Primary Academy,147148,http://www.abbey.leicester.sch.uk/
Abbey Meads Community Primary School,146073,http://www.abbeymeads.swindon.sch.uk
Abbey Park Academy,140172,http://www.abbeyparkacademy.org/
Abbey Park First and Nursery School,116716,http://www.abbeyparkfirstandnurseryschool.co.uk/
Abbey Park Middle School,116774,http://www.abbeyparkmiddle.worcs.sch.uk/
Abbey Primary School,133280,http://www.abbeyprimaryschool.co.uk
Abbey Primary School,146160,http://www.abbey.sutton.sch.uk/
Abbey Primary School,104168,http://www.abbey.walsall.sch.uk
Abbey Road Primary School,122599,http://www.abbeyroadprimary.co.uk/
Abbey Rose School,146524,http://www.orbis-group.co.uk/abbey-rose-gloucester
Abbey School,113566,http://www.abbeyschool.co.uk
Abbey School,142768,
Abbey View,139660,
Abbey View Primary Academy ,147062,
Abbey Village Primary School,119307,http://www.abbeyvillage.lancs.sch.uk
Abbey Woods Academy,139709,http://www.abbeywoodsacademy.oxon.sch.uk/
Abbeyfield Primary Academy,143052,
Abbeyfields First School,144181,http://abbeyfields.the3rivers.net
Abbeymead Primary School,115601,http://www.abbeymead.gloucs.sch.uk/
Abbeys Primary School,110401,http://www.abbeysprimary.org
Abbeywood First School ,142541,http://www.abbeywood.worcs.sch.uk
Abbeywood School,146571,
Abbot Alphege Academy,144737,
Abbot's Hall Community Primary School,124631,http://www.abbotshall.suffolk.sch.uk/
Abbot's Lea School,104736,http://www.abbotsleaschool.co.uk
Abbots Farm Infant School,125573,http://www.abbotsfarm-inf.org
Abbots Farm Junior School,125580,http://www.abbotsfarm.co.uk
Abbots Green Primary Academy,145698,
Abbots Hall Primary School,139605,http://www.abbots-hall.co.uk/
Abbots Langley School,117083,http://www.abbotslangley.herts.sch.uk
Abbots Ripton CofE Primary School,110850,http://www.abbotsripton.cambs.sch.uk/website
Abbotsbury Primary School,102649,http://www.abbotsbury.merton.sch.uk/
Abbotsford Preparatory School,106386,
Abbotskerswell Primary School,113183,http://www.abbotskerswell-primary.devon.sch.uk
Abbotsweld Primary Academy,141380,http://www.netacademies.net/abbotsweld/
Abbotswood Junior School,116482,http://www.abbotswood.hants.sch.uk/
