URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
138305,26,10,16,3.1,109,92%,50%,1,Well Above Average,1.3,110,88%,62%,3,Average,1.3,106,92%,19%,3,Average,88%,8%,2018
111933,7,4,3,2,103,86%,14%,3,Average,0.8,100,43%,14%,3,Average,-0.1,101,43%,0%,3,Average,43%,0%,2018
111841,30,16,14,-2.5,104,70%,17%,4,Below Average,-0.3,105,73%,27%,3,Average,-1.9,104,87%,17%,3,Average,63%,3%,2018
143443,52,27,25,3.6,106,90%,23%,1,Well Above Average,3.1,104,69%,25%,1,Well Above Average,2.5,105,81%,21%,2,Above Average,75%,10%,2018
112031,6,4,2,-1.4,97,50%,0%,3,Average,-0.3,99,50%,0%,3,Average,1.7,100,50%,17%,3,Average,50%,0%,2018
145561,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
101328,28,16,12,5.7,110,93%,57%,1,Well Above Average,4,110,93%,57%,1,Well Above Average,3.6,106,89%,36%,1,Well Above Average,89%,32%,2018
142963,16,10,6,0.6,103,56%,25%,3,Average,3.8,105,63%,31%,1,Well Above Average,1.2,103,69%,13%,3,Average,44%,13%,2018
103771,28,17,11,2,105,75%,18%,3,Average,2.8,107,79%,29%,1,Well Above Average,2.1,104,86%,11%,3,Average,71%,7%,2018
143390,150,87,63,1.3,107,86%,36%,,NOT AVAIL,1,108,83%,44%,,NOT AVAIL,0.9,106,89%,33%,,NOT AVAIL,82%,14%,2018
137076,25,12,13,-3.1,104,60%,16%,5,Well Below Average,1.5,102,68%,20%,3,Average,-1.2,101,68%,4%,3,Average,52%,4%,2018
143169,24,14,10,-1.4,105,75%,29%,3,Average,-0.2,105,67%,29%,3,Average,-2,103,67%,21%,3,Average,63%,8%,2018
136598,52,21,31,-0.1,103,71%,17%,3,Average,3.5,105,73%,25%,1,Well Above Average,1.2,104,75%,13%,3,Average,67%,6%,2018
123098,64,29,35,-1.3,104,69%,22%,3,Average,-1.1,103,66%,20%,3,Average,-1.2,104,77%,16%,3,Average,52%,3%,2018
144292,5,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
136831,92,59,33,0.8,106,87%,30%,3,Average,0.5,105,85%,15%,3,Average,0.1,105,85%,22%,3,Average,80%,8%,2018
107540,26,11,15,0.4,106,81%,27%,3,Average,-0.6,108,96%,42%,3,Average,2.5,108,100%,31%,2,Above Average,73%,12%,2018
124614,31,14,17,0.1,107,81%,35%,3,Average,-1.2,106,71%,32%,3,Average,-2.2,103,74%,13%,4,Below Average,58%,3%,2018
124613,57,28,29,0.7,105,75%,21%,3,Average,2.4,106,81%,35%,2,Above Average,1,104,74%,21%,3,Average,67%,9%,2018
144647,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
107338,37,21,16,0.4,106,78%,27%,3,Average,-0.4,107,84%,38%,3,Average,0.5,105,84%,22%,3,Average,70%,11%,2018
131309,31,14,17,0.3,106,74%,45%,3,Average,0.5,109,90%,48%,3,Average,3,108,84%,42%,2,Above Average,74%,19%,2018
137274,60,27,33,-3.6,100,55%,12%,5,Well Below Average,-5.8,99,43%,7%,5,Well Below Average,-4.5,98,43%,3%,5,Well Below Average,27%,0%,2018
142563,59,35,24,1.1,106,78%,34%,3,Average,1.8,106,76%,29%,2,Above Average,0.7,105,86%,17%,3,Average,68%,8%,2018
134722,37,20,17,-3.4,100,49%,14%,5,Well Below Average,-1,100,54%,3%,3,Average,-2.4,99,57%,3%,4,Below Average,43%,0%,2018
141987,26,10,16,0.9,103,69%,27%,3,Average,1.9,101,62%,19%,3,Average,-3,99,54%,8%,4,Below Average,50%,8%,2018
109182,19,8,11,0.7,107,89%,58%,3,Average,1.8,106,74%,32%,3,Average,-0.5,105,84%,26%,3,Average,79%,16%,2018
131439,60,25,35,-3.7,103,65%,18%,5,Well Below Average,1.6,106,75%,25%,2,Above Average,-1.6,104,77%,18%,4,Below Average,55%,15%,2018
121956,26,14,12,-0.6,106,81%,38%,3,Average,0.2,107,88%,42%,3,Average,-1.6,105,69%,31%,3,Average,69%,23%,2018
141352,56,29,27,1.6,107,64%,38%,3,Average,0.3,108,68%,41%,3,Average,0.2,105,73%,25%,3,Average,59%,13%,2018
123173,33,16,17,1.2,107,79%,30%,3,Average,3.7,107,82%,30%,1,Well Above Average,2.4,108,82%,33%,2,Above Average,73%,18%,2018
100749,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
141955,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
140623,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
135860,57,25,32,2.5,109,95%,47%,2,Above Average,1.3,108,89%,30%,3,Average,2,107,93%,35%,2,Above Average,82%,25%,2018
119406,26,13,13,3.1,106,81%,42%,1,Well Above Average,4.1,111,92%,62%,1,Well Above Average,3.4,106,85%,31%,1,Well Above Average,77%,8%,2018
136804,22,10,12,0.3,105,77%,45%,3,Average,0.8,104,73%,36%,3,Average,0.3,104,73%,27%,3,Average,73%,18%,2018
106322,64,37,27,1.3,105,80%,20%,3,Average,5.1,108,84%,50%,1,Well Above Average,1.7,105,81%,28%,2,Above Average,73%,9%,2018
137174,22,13,9,-0.1,104,73%,9%,3,Average,0,105,91%,23%,3,Average,0.3,103,73%,14%,3,Average,50%,5%,2018
116296,6,4,2,,110,50%,33%,,NOT AVAIL,,104,50%,33%,,NOT AVAIL,,104,50%,33%,,NOT AVAIL,33%,0%,2018
135266,28,16,12,-0.9,106,75%,32%,3,Average,-1.2,105,82%,29%,3,Average,-1.6,104,82%,21%,3,Average,64%,7%,2018
139857,20,11,9,-1.5,105,80%,15%,3,Average,-2.8,104,75%,20%,5,Well Below Average,-3,103,65%,5%,4,Below Average,55%,0%,2018
133756,58,24,34,0.2,104,66%,28%,3,Average,-0.9,105,79%,31%,3,Average,-0.3,103,71%,19%,3,Average,59%,7%,2018
115922,64,34,30,1.1,106,88%,22%,3,Average,0.5,105,83%,25%,3,Average,0.5,105,77%,23%,3,Average,73%,5%,2018
113179,32,16,16,2.6,110,88%,56%,2,Above Average,-0.4,110,94%,47%,3,Average,1.3,108,88%,44%,3,Average,81%,19%,2018
113205,62,31,31,-0.2,107,79%,37%,3,Average,0.1,107,82%,36%,3,Average,-0.1,106,85%,27%,3,Average,74%,15%,2018
123651,17,8,9,3,108,88%,41%,2,Above Average,-0.9,108,88%,41%,3,Average,1.2,106,82%,41%,3,Average,82%,6%,2018
101503,87,47,40,-1.4,104,74%,18%,3,Average,-1.3,108,82%,46%,3,Average,1,105,76%,28%,3,Average,66%,2%,2018
134924,50,28,22,-0.6,105,74%,22%,3,Average,-3,106,78%,34%,5,Well Below Average,-1.7,103,68%,14%,4,Below Average,58%,4%,2018
116295,36,19,17,-2.6,105,75%,31%,4,Below Average,-0.4,105,72%,31%,3,Average,-0.8,104,83%,14%,3,Average,67%,6%,2018
118690,33,16,17,2.6,111,97%,58%,2,Above Average,2.8,112,94%,73%,1,Well Above Average,3.2,111,97%,61%,1,Well Above Average,97%,39%,2018
140888,58,31,27,-2.2,101,57%,7%,4,Below Average,-5.4,102,62%,16%,5,Well Below Average,-0.8,102,66%,10%,3,Average,33%,2%,2018
124627,27,16,11,-0.8,106,93%,19%,3,Average,-6.4,107,93%,41%,5,Well Below Average,-0.9,105,74%,30%,3,Average,52%,0%,2018
119278,27,13,14,0.6,102,59%,15%,3,Average,-0.7,104,70%,15%,3,Average,-1.2,100,56%,4%,3,Average,37%,4%,2018
132245,61,29,32,3.5,109,97%,43%,1,Well Above Average,4.5,110,90%,61%,1,Well Above Average,3.7,108,98%,43%,1,Well Above Average,89%,26%,2018
141181,39,26,13,-1.7,101,62%,10%,3,Average,-3.1,100,51%,13%,5,Well Below Average,-3.4,98,44%,8%,5,Well Below Average,38%,0%,2018
139205,19,13,6,-1,103,79%,21%,3,Average,2.8,101,58%,16%,1,Well Above Average,-0.5,102,68%,21%,3,Average,63%,5%,2018
115607,84,37,47,-1.3,102,62%,26%,3,Average,0.4,103,64%,25%,3,Average,-1.3,101,58%,13%,4,Below Average,46%,7%,2018
135139,59,40,19,-4.6,101,51%,17%,5,Well Below Average,-3.3,103,64%,20%,5,Well Below Average,-3.3,102,66%,10%,5,Well Below Average,42%,5%,2018
113398,50,27,23,-0.7,105,72%,30%,3,Average,0.1,106,76%,36%,3,Average,-1,104,64%,12%,3,Average,58%,4%,2018
142640,57,32,25,-2,101,61%,9%,4,Below Average,-2.1,102,67%,18%,4,Below Average,-0.7,102,65%,11%,3,Average,49%,0%,2018
116891,20,9,11,1.3,110,100%,45%,3,Average,-2.8,110,85%,55%,5,Well Below Average,-0.3,107,85%,40%,3,Average,75%,10%,2018
103221,44,21,23,1.7,106,80%,36%,3,Average,1.3,105,80%,27%,3,Average,3.4,107,98%,23%,1,Well Above Average,77%,14%,2018
134776,60,31,29,6,108,87%,50%,1,Well Above Average,3,110,92%,55%,1,Well Above Average,5.8,107,88%,35%,1,Well Above Average,78%,8%,2018
142428,85,41,44,-0.1,105,75%,21%,3,Average,0.3,106,74%,33%,3,Average,1.2,105,80%,24%,3,Average,71%,11%,2018
110995,18,14,4,0.8,106,83%,39%,3,Average,-4.4,105,72%,33%,5,Well Below Average,-0.8,104,72%,28%,3,Average,61%,17%,2018
131800,41,20,21,1,103,71%,17%,3,Average,3.6,106,76%,37%,1,Well Above Average,3.6,105,76%,24%,1,Well Above Average,66%,10%,2018
138193,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
143852,113,64,49,-2.7,101,52%,14%,4,Below Average,-0.8,101,55%,20%,3,Average,-2.2,100,53%,13%,4,Below Average,44%,3%,2018
111601,59,29,30,-0.5,104,81%,10%,3,Average,0.9,106,85%,32%,3,Average,0.9,104,85%,14%,3,Average,78%,0%,2018
106082,40,23,17,0.5,105,78%,25%,3,Average,0.5,109,85%,50%,3,Average,2.6,106,85%,33%,2,Above Average,78%,5%,2018
135327,49,26,23,-3.2,105,69%,29%,5,Well Below Average,1.4,105,78%,31%,3,Average,-2.6,105,84%,20%,4,Below Average,65%,10%,2018
121920,29,18,11,-1,99,52%,14%,3,Average,1.2,102,55%,17%,3,Average,0.4,100,59%,3%,3,Average,45%,3%,2018
