URN,KS5 Pupils,Avg A-level Points,Avg A-level Grade,Academic Year
139405,65,27.8,C-,2018
130567,1191,,,2018
140867,221,30.85,C,2018
136259,3,,,2018
130908,313,29.85,C,2018
130570,4180,26.48,C-,2018
134223,173,31.58,C,2018
130571,500,29.83,C,2018
142382,199,27.53,C-,2018
136139,2,,,2018
141013,16,,,2018
138845,185,35.69,B-,2018
142777,1666,33.24,C+,2018
139318,235,33.28,C+,2018
143063,330,34.41,C+,2018
111768,35,35.58,B-,2018
111769,208,43.86,B+,2018
114336,134,30.71,C,2018
130657,667,,,2018
137638,137,31.99,C+,2018
130658,641,34,C+,2018
114330,70,40.23,B,2018
114312,329,40.7,B,2018
114331,160,36.06,B-,2018
114310,1237,33.8,C+,2018
131859,1505,26.49,C-,2018
137696,130,33.79,C+,2018
136770,124,28.9,C,2018
130659,2571,25.49,C-,2018
136745,81,25.76,C-,2018
139329,11,,,2018
136971,272,31.53,C,2018
114327,78,35.44,B-,2018
138172,205,29.78,C,2018
137702,217,32.02,C+,2018
143583,241,34.49,C+,2018
144496,56,32.15,C+,2018
136683,124,30.8,C,2018
142894,73,15.81,D-,2018
114300,18,23.15,D+,2018
114297,66,28.14,C-,2018
137622,279,34.06,C+,2018
130656,1487,,,2018
142174,50,23.44,D+,2018
130662,2123,33.42,C+,2018
137852,194,33.01,C+,2018
108420,258,38.33,B-,2018
130551,2716,27.06,C-,2018
108407,99,25.12,C-,2018
137898,109,28.64,C,2018
137942,208,28.11,C-,2018
137851,293,35.88,B-,2018
141185,178,27.37,C-,2018
137360,270,36.8,B-,2018
144271,57,26.29,C-,2018
108547,211,36.14,B-,2018
140976,32,29.01,C,2018
135423,204,23.18,D+,2018
136352,578,32,C+,2018
108531,309,31.82,C+,2018
138120,205,27.38,C-,2018
130552,9263,26.92,C-,2018
108538,173,36.38,B-,2018
108544,47,42.8,B+,2018
108549,340,46.8,A-,2018
137708,297,36.57,B-,2018
137900,170,38.8,B,2018
140081,200,38,B-,2018
140965,68,33,C+,2018
133779,1,,,2018
142673,73,,,2018
108524,182,29.05,C,2018
108525,91,28.21,C-,2018
108542,38,35.67,B-,2018
108640,133,36.03,B-,2018
108641,73,29.92,C,2018
108639,133,30.76,C,2018
139658,162,35.91,B-,2018
108645,81,26.95,C-,2018
108642,124,30.5,C,2018
108647,20,24.67,D+,2018
137734,294,30.27,C,2018
108638,526,33.97,C+,2018
144204,245,34.94,C+,2018
